HourUTC;HourDK;MunicipalityNo;HousingCategory;HeatingCategory;ConsumptionkWh
2020-12-31 23:00;2021-01-01 00:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;5518,345000
2021-01-01 00:00;2021-01-01 01:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;5355,460000
2021-01-01 01:00;2021-01-01 02:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;5148,924000
2021-01-01 02:00;2021-01-01 03:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;4991,637000
2021-01-01 03:00;2021-01-01 04:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;4980,657000
2021-01-01 04:00;2021-01-01 05:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;5110,319000
2021-01-01 05:00;2021-01-01 06:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;5299,679000
2021-01-01 06:00;2021-01-01 07:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;5459,918000
2021-01-01 07:00;2021-01-01 08:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;5877,450000
2021-01-01 08:00;2021-01-01 09:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;6461,990000
2021-01-01 09:00;2021-01-01 10:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;6717,766000
2021-01-01 10:00;2021-01-01 11:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;6674,174000
2021-01-01 11:00;2021-01-01 12:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;6528,284000
2021-01-01 12:00;2021-01-01 13:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;6476,749000
2021-01-01 13:00;2021-01-01 14:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;6503,297000
2021-01-01 14:00;2021-01-01 15:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;6476,251000
2021-01-01 15:00;2021-01-01 16:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;6855,374000
2021-01-01 16:00;2021-01-01 17:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;7601,175000
2021-01-01 17:00;2021-01-01 18:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;7337,634000
2021-01-01 18:00;2021-01-01 19:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;6962,755000
2021-01-01 19:00;2021-01-01 20:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;6443,774000
2021-01-01 20:00;2021-01-01 21:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;6082,583000
2021-01-01 21:00;2021-01-01 22:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;5697,615000
2021-01-01 22:00;2021-01-01 23:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;5280,649000
2021-01-01 23:00;2021-01-02 00:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;5081,899000
2021-01-02 00:00;2021-01-02 01:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;4912,436000
2021-01-02 01:00;2021-01-02 02:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;4888,970000
2021-01-02 02:00;2021-01-02 03:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;4965,339000
2021-01-02 03:00;2021-01-02 04:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;5031,813000
2021-01-02 04:00;2021-01-02 05:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;5254,520000
2021-01-02 05:00;2021-01-02 06:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;5504,692000
2021-01-02 06:00;2021-01-02 07:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;5918,783000
2021-01-02 07:00;2021-01-02 08:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;6548,889000
2021-01-02 08:00;2021-01-02 09:00;580;Parcel- og rækkehuse;Elvarme eller varmepumpe;7131,212000
